Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe	0.02	3,212 K	12,660 K	6088	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,644 K	6,792 K	5612	Host Process for Windows Services	Microsoft Corporation
   Windows.WARP.JITService.exe		1,184 K	5,252 K	5824		
  svchost.exe		3,840 K	16,000 K	7524	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,092 K	7,396 K	2396	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.16	56,928 K	66,776 K	4272	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,196 K	8,352 K	5960	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	44.93	51,540 K	65,228 K	5296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,932 K	13,028 K	3068	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,988 K	14,712 K	5696	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,716 K	6,736 K	3472	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		16,656 K	3,324 K	5840	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  TrustedInstaller.exe	< 0.01	1,800 K	6,492 K	6500	Windows Modules Installer	Microsoft Corporation
  svchost.exe		1,940 K	7,916 K	7252	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.31	6,952 K	16,544 K	616	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,368 K	3,992 K	716		
csrss.exe	0.36	1,648 K	4,876 K	492		
winlogon.exe		2,408 K	9,852 K	568		
 fontdrvhost.exe		2,008 K	6,384 K	708		
 dwm.exe	1.17	46,432 K	85,584 K	980		
explorer.exe	0.06	44,220 K	121,404 K	4084	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,912 K	9,340 K	6468	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		24,796 K	63,116 K	6776	Microsoft OneDrive	Microsoft Corporation
 procexp64.exe	1.45	19,300 K	56,080 K	1880	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com

